entreprise,localite,telephone,email,categorie,signal_alerte,source_url,requete
Desfarges Pierre-Henry Avocat,Strasbourg,+33 3 88 30 32 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/3722797045,overpass:cabinet d'avocats:Strasbourg
Christelle Clauss Demeures Et Villas,Strasbourg,+33 3 90 41 24 10,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/3754435725,overpass:agence immobilière:Strasbourg
Immobiliere Du Rhin,Strasbourg,+33 3 88 36 49 54,immorhin@orange.fr,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",www.immorhin.fr,overpass:agence immobilière:Strasbourg
Egregore Conseil,Strasbourg,+33 3 69 96 40 01,es@egregoreconseil.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.egregoreconseil.com,overpass:agence immobilière:Strasbourg
Welsch - Kessler et associés,Strasbourg,+33 3 88 22 13 85,accueil@welsch-kessler.com,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.welsch-kessler.com/,overpass:cabinet d'avocats:Strasbourg
Maif,Strasbourg,+33 3 88 43 04 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5279487665,overpass:cabinet d'assurance:Strasbourg
Maif Strasbourg Les Halles,Strasbourg,+33 3 88 15 58 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5321684623,overpass:cabinet d'assurance:Strasbourg
Saint Clair Immobilier,Strasbourg,+33 3 90 41 07 30,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5745922725,overpass:agence immobilière:Strasbourg
Immobilière Catherine Chevreux,Strasbourg,+33 3 88 44 01 86,contact@immochevreux.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.immochevreux.com/,overpass:agence immobilière:Strasbourg
Allianz,Strasbourg,+33 3 88 76 75 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5745975207,overpass:cabinet d'assurance:Strasbourg
Alsabail,Strasbourg,+33 3 88 21 22 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.alsabail.fr/,overpass:agence immobilière:Strasbourg
Picado,Nice,+33 4 93 84 80 50,locations@groupepicado.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://groupepicado.com/fr/,overpass:agence immobilière:Nice
AXA,Nice,+33 4 92 07 10 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.facebook.com/axa.agence.schubetzer,overpass:cabinet d'assurance:Nice
Me Lazard Pourcines,Nice,+33 4 93 80 81 70,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.lazard-avocat.com,overpass:cabinet d'avocats:Nice
Sud Europ'immo Transactions,Nice,+33 4 93 88 47 19,philippe.verseauimmo@gmail.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://sud-europe-immo.fr,overpass:agence immobilière:Nice
